User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
384980,School5,4,Reading,548,Grade,3
385593,School1,4,Reading,641,Grade,6
386377,School14,4,Reading,509,Grade,3
391237,School10,4,Reading,539,Grade,3
401241,School14,4,Reading,592,Mid,4
401284,School15,4,Reading,622,Late,4
402732,School1,4,Reading,508,Grade,3
403174,School11,4,Reading,571,Early,4
404251,School11,4,Reading,616,Late,4
405234,School10,4,Reading,463,Grade,1
405777,School6,4,Reading,579,Mid,4
407096,School5,4,Reading,545,Grade,3
407387,School5,4,Reading,598,Mid,4
408339,School11,4,Reading,534,Grade,3
414082,School1,4,Reading,530,Grade,3
417893,School10,4,Reading,522,Grade,3
418766,School1,4,Reading,599,Mid,4
424478,School5,4,Reading,565,Early,4
425767,School5,4,Reading,476,Grade,2
429505,School5,4,Reading,611,Late,4
429791,School14,4,Reading,614,Late,4
430839,School11,4,Reading,675,Grade,7
433703,School1,4,Reading,599,Mid,4
434308,School1,4,Reading,549,Grade,3
434507,School3,4,Reading,565,Early,4
435049,School14,4,Reading,653,Grade,6
435723,School14,4,Reading,551,Grade,3
436353,School1,4,Reading,514,Grade,3
439910,School1,4,Reading,553,Grade,3
440115,School10,4,Reading,422,Grade,1
440612,School5,4,Reading,596,Mid,4
441202,School14,4,Reading,521,Grade,3
442764,School6,4,Reading,520,Grade,3
443742,School15,4,Reading,617,Late,4
444003,School13,4,Reading,510,Grade,3
444655,School1,4,Reading,541,Grade,3
450986,School1,4,Reading,619,Late,4
456784,School10,4,Reading,550,Grade,3
457040,School15,4,Reading,570,Early,4
459015,School15,4,Reading,552,Grade,3
465910,School6,4,Reading,567,Early,4
471066,School10,4,Reading,535,Grade,3
476734,School1,4,Reading,552,Grade,3
476902,School5,4,Reading,613,Late,4
478779,School15,4,Reading,568,Early,4
480174,School15,4,Reading,625,Late,4
480905,School6,4,Reading,563,Early,4
481709,School5,4,Reading,507,Grade,3
482883,School11,4,Reading,625,Late,4
485337,School11,4,Reading,630,Grade,5
485918,School6,4,Reading,524,Grade,3
486392,School5,4,Reading,510,Grade,3
487600,School15,4,Reading,549,Grade,3
490189,School10,4,Reading,492,Grade,2
490623,School10,4,Reading,526,Grade,3
492787,School14,4,Reading,567,Early,4
498916,School15,4,Reading,572,Early,4
500579,School6,4,Reading,530,Grade,3
503224,School1,4,Reading,612,Late,4
505037,School6,4,Reading,537,Grade,3
509227,School15,4,Reading,522,Grade,3
510711,School1,4,Reading,566,Early,4
511691,School11,4,Reading,541,Grade,3
519928,School10,4,Reading,572,Early,4
520472,School6,4,Reading,503,Grade,3
521814,School5,4,Reading,616,Late,4
528265,School6,4,Reading,618,Late,4
528718,School11,4,Reading,730,Grade,7
533718,School12,4,Reading,511,Grade,3
534703,School5,4,Reading,615,Late,4
534815,School11,4,Reading,626,Late,4
538330,School6,4,Reading,562,Early,4
538373,School15,4,Reading,568,Early,4
544576,School14,4,Reading,410,Grade,0
548772,School5,4,Reading,491,Grade,2
549083,School6,4,Reading,563,Early,4
550492,School6,4,Reading,617,Late,4
552338,School11,4,Reading,675,Grade,7
552816,School5,4,Reading,485,Grade,2
553273,School1,4,Reading,543,Grade,3
556192,School1,4,Reading,615,Late,4
556855,School10,4,Reading,511,Grade,3
561443,School1,4,Reading,576,Early,4
565437,School5,4,Reading,563,Early,4
565509,School11,4,Reading,650,Grade,6
567850,School14,4,Reading,588,Mid,4
577259,School5,4,Reading,424,Grade,1
580657,School5,4,Reading,542,Grade,3
581676,School1,4,Reading,683,Grade,7
582291,School11,4,Reading,671,Grade,7
584810,School6,4,Reading,595,Mid,4
587091,School11,4,Reading,603,Late,4
589248,School11,4,Reading,597,Mid,4
594528,School6,4,Reading,483,Grade,2
