User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
294613,School5,4,Reading,539,Grade 3
294629,School13,7,Reading,508,Grade 3
294664,School14,4,Reading,593,Mid 4
295514,School12,4,Reading,569,Early 4
295769,School1,5,Reading,614,Mid 5
295852,School5,5,Reading,607,Early 5
296194,School11,5,Reading,529,Grade 3
296395,School13,6,Reading,437,Grade 1
297105,School14,3,Reading,503,Grade 2
297269,School8,6,Reading,728,Grade 9
297346,School5,4,Reading,545,Grade 3
297443,School14,4,Reading,596,Mid 4
298491,School7,8,Reading,604,Grade 7
298683,School10,5,Reading,554,Grade 4
298805,School10,3,Reading,511,Early 3
299707,School8,7,Reading,495,Grade 2
299803,School1,3,Reading,531,Early 3
299837,School8,8,Reading,684,Late 8
299938,School7,6,Reading,494,Grade 2
300352,School11,4,Reading,626,Late 4
300375,School7,7,Reading,532,Grade 3
301139,School13,6,Reading,582,Grade 5
301287,School14,3,Reading,632,Grade 5
301300,School10,4,Reading,563,Early 4
301558,School14,5,Reading,507,Grade 3
301892,School8,8,Reading,636,Early 8
302131,School13,8,Reading,586,Grade 6
302156,School7,7,Reading,616,Early 7
302256,School8,8,Reading,698,Grade 9
302863,School8,8,Reading,618,Grade 7
302958,School8,6,Reading,622,Mid 6
302959,School7,8,Reading,449,Grade 1
303351,School11,4,Reading,512,Grade 3
304016,School8,6,Reading,608,Early 6
304213,School13,6,Reading,582,Grade 5
304246,School7,6,Reading,617,Mid 6
304917,School14,4,Reading,460,Grade 1
305269,School13,8,Reading,509,Grade 3
305553,School14,4,Reading,597,Mid 4
305625,School8,7,Reading,376,Grade K
305943,School7,8,Reading,599,Grade 7
306159,School7,8,Reading,516,Grade 3
307016,School11,3,Reading,646,Grade 6
307095,School8,6,Reading,597,Grade 5
307141,School7,6,Reading,608,Early 6
307424,School8,7,Reading,371,Grade K
307438,School14,3,Reading,542,Early 3
307506,School8,8,Reading,523,Grade 3
307607,School6,4,Reading,488,Grade 2
308694,School13,6,Reading,582,Grade 5
310309,School8,7,Reading,631,Early 7
310363,School4,8,Reading,594,Grade 7
310882,School14,4,Reading,528,Grade 3
311076,School15,5,Reading,516,Grade 3
311125,School15,5,Reading,630,Late 5
311268,School7,6,Reading,536,Grade 3
311493,School5,4,Reading,522,Grade 3
311588,School7,7,Reading,609,Early 7
311649,School6,3,Reading,469,Grade 1
311650,School7,6,Reading,631,Mid 6
311693,School13,6,Reading,531,Grade 3
311880,School12,5,Reading,468,Grade 1
311907,School8,6,Reading,634,Mid 6
311924,School1,3,Reading,533,Early 3
312121,School8,8,Reading,672,Late 8
312440,School7,8,Reading,594,Grade 7
313023,School5,4,Reading,498,Grade 3
313193,School7,7,Reading,468,Grade 1
